0,"Fred Dunst does however do a pretty fair imitation of Billy Bob Thornton 's character from `` A Simple Plan '' , while Jake Busey does a pretty fair imitation of ,"
1,"Meanwhile Gene Kelly falls for lovely damsel , Leslie Caron . His main dancing partner , and I must say they are fantastic together on the floor and otherwise . Famous French"
0,"After watching this movie I was honestly disappointed - not because of the actors , story or directing - I was disappointed by this film advertisements. < br / > < br"
1,This movie was nominated for best picture but lost out to Casablanca but Paul Lukas beat out Humphrey Bogart for best actor . I do n't see why Lucile Watson was nominated
1,`` Planet earth '' is also a wake-up call that the global warming of our planet has disastrous consequences for all living creatures around the world . Al Gore showed us the
0,"The original Out of Towners was manic and very funny , of course they used the script written by Neil Simon . For some reason Neil Simons script is not used in"
0,"For a start the character 's are dumb , annoying & clichéd . Then there 's the unoriginal plot with the mad scientist , the monster he has created , the isolated"
1,"The chemistry between Watson and Turturro on screen is obvious from the moment their characters meet in the story . All in all , this movie is one of the best in-depth"
0,"However , the resulting movie is absolutely dire ! Admittedly , this is not the worst film ever made , or the worst film this year , but it came damn close"
0,Whoever edited the original running time of 233 minutes down to the 68 minuted version available on DVD has done a hell of a good job . The shortened version plays just
1,"I have to say that Higher Learning is one of the top 3 movies I have ever watched . It has a brilliant cast , and an equally brilliant director . Singleton"
0,< br / > < br / > Unfortunately I think Ritchie seems to have fallen into his wife 's trap of taking himself far too seriously.It seems it was n't good
0,"Not one of Keaton 's best efforts , this was perhaps a veiled attempt to revenge himself on the family he married into - the Talmadges . A Polish/English language barrier and"
1,"When his quick temper leaves a murder suspect dead , Dixon finds himself becoming the very father whom he despised , a cheap criminal who 'll cheat and lie to cover up"
0,Specially the mother she 's a nice actress and the kid also proves to be a nice one specially on the scenes where he is supposed to be scary . But does
1,I know I know it was a good ending but sincerely it was awesome . I love when a movie ends on a terrific dark nature but this time I was impressed
1,"This proves very good writing and acting. < br / > < br / > The whole movie is filled with bizarre , sensational scenes that made me hold my breath not"
1,"This movie is outrageous , funny , ribald , sophisticated & hits the bullseye where 99 % of Hollywood movies do n't even make the target . Paul Bartel should be recognized"
